"TEXT","FILENAME","TYPE FOLLOW","FOLLOW FILE (DEFAULT/SHORT/YES)","FOLLOW FILE 2 (NO/LONG)","GENERAL TAGS","","","SPECIFIC TAGS"
"Listening to you one thing I can't figure out is if you're flirting with me. Say you and I met at a bar. How would I be able to tell that you're flirting with me? What kinds of lines would you use?","flirtme","hardfollow","flirtme2","","sex","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"Do you have any sexy moves? How would you go about seducing somebody?","flirtme2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What kinds of people do you attract?","OWOW1a_T01_BEST","hardfollow","OWOW1b_T03_BEST","","sex","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"Are the people that are attracted to you the kinds of people that you want to attract?","OWOW1b_T03_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Have you ever had any strange sexual encounters?","STRANGESEX1a_T01_BEST","length","STRANGESEX1b_T01_BEST","STRANGESEX1c_T02_BEST","sex","notfirst","","","","","","","","","","","","","","","","","","","","",""
"So that's as strange as it's been.","STRANGESEX1c_T02_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"It doesn't have to be crazy just does anything come to mind?","STRANGESEX1b_T01_BEST","length","","STRANGESEX1c_T02_BEST","followup","","","","","","","","","","","","","","","","","","","","","",""
"Do you talk during sex? What kinds of things do you say?","SEXTALK1a_T01_BEST","hardfollow","SEXTALK1b_T02_BEST","","sex","notfirst","","","","","","","","","","","","","","","","","","","","",""
"What's your favorite sexual position?","SEXTALK1b_T02_BEST","hardfollow","SEXTALK1c_T01_BEST","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Is there a self-destructive streak in you? How do you act out?","SELFDESTRUCTIVE1a_T02_BEST","hardfollow","SELFDESTRUCTIVE1b_T01_BEST","","wrong","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"Tell me about a mistake you've made recently.","SELFDESTRUCTIVE1b_T01_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What are the biggest risks you've taken in your life?","RISKBIG_T02_BEST","","","","wrong","escapehatch","","","","","","","","","","","","","","","","","","","","",""
